emoji	keywords
⌚️	clock, time, watch, கடிகாரம், நேரம், வாட்ச்
⌛️	done, hourglas, hourglass, sand, time, timer, கடிகாரம், நேரம், மணற்கடிகாரம், மணல்
⏰️	alarm, clock, hour, hours, hrs, late, time, waiting, அலார, அலாரம், கடிகாரம், மேசை
⏳️	done, flowing, hour, hourglas, hourglass, hours, not, sand, timer, waiting, yolo, கடிகாரம், காலக்கெடு, சரியும், நேரம், மணற்கடிகாரம், மணலுடன், யோலோ
☔️	clothing, drop, drops, rain, umbrella, weather, குடை, துளி, துளிகளுடன், மழை, மழைத்
☕️	beverage, cafe, caffeine, chai, coffee, drink, hot, morning, steaming, tea, காபி, காபிடே, சூடான, டீ, பானம், ஸ்டார்பக்ஸ்
⚓️	anchor, ship, tool, ஆங்கர், கடல், கப்பல், கருவி, நங்கூரம்
⚡️	danger, electric, electricity, high, lightning, nature, thunder, thunderbolt, voltage, zap, அபாயம், இடி, உயர், சின்னம், மின்சாரம், மின்னதிர்வு, மின்னல், மின்னழுத்த, மின்னழுத்தம்
⚽️	ball, football, futbol, soccer, sport, கால்பந்து, சாக்கர், மெஸ்ஸி, ரொனால்டோ, விளையாட்டு
⚾️	ball, baseball, sport, பந்து, பேஸ்பால், விளையாட்டு
⛄️	cold, man, snow, snowman, இல்லாத, கார்ட்டூன், குளிர்காலம், பனி, பனிப்பொழிவு, மனிதன், வெப்பநிலை, ஸ்நோமேன், ஸ்னோமேன்
⛅️	behind, cloud, cloudy, sun, weather, இயற்கை, காட்சி, சூரியனை, சூரியன், பின்னால், போன்ற, மறைந்திருக்கும், மூடியிருக்கும், மூடியிருப்பது, மேகத்தின், மேகம்
⛓️‍💥	break, breaking, broken, chain, cuff, cuffs, freedom, உடைத்தல், உடைந்த, உடைப்பு, கஃப்ஸ், சங்கிலி, சுதந்திரம்
⛪️	bles, bless, chapel, christian, church, cros, cross, religion, ஆலயம், கடவுள், கோயில், சிலுவை, தேவாலயம், பிரார்த்தனை, மதம்
⛲️	fountain, தோட்டம், நீருற்று, பூங்கா
⛳️	flag, golf, hole, in, sport, கொடி, கோல்ஃப், விளையாட்டு
⛵️	boat, resort, sailboat, sailing, sea, yacht, உலாப், கடல், சுற்றுலா, படகு, பயணம், ரிசார்ட்
⛹️‍♀️	athletic, ball, basketball, bouncing, championship, dribble, net, player, throw, woman, கைப்பந்து, நபர், பந்தாடும், பந்து, பால், பெண், வாலி, விளையாட்டு
⛹️‍♂️	athletic, ball, basketball, bouncing, championship, dribble, man, net, player, throw, ஆண், பந்தாடும், பந்து, விளையாட்டு
⛺️	camping, tent, கூடாரம், கேம்ப், கேம்ப்பிங், பயிற்சி, முகாம்
⛽️	diesel, fuel, fuelpump, gas, gasoline, pump, station, எரிபொருள், எரிவாயு, கேஸோலின், நிலையம், பங்க்
✨️	magic, sparkle, sparkles, star, ஒளிரும், கொண்டாட்டம், நட்சத்திரம்
⭐️	astronomy, medium, star, stars, white, நட்சத்திரம், நிற, வெளிர்நிற, வெள்ளை, ஸ்டார்
🀄️	dragon, game, mahjong, red, டிராகன், டைலில், மஹ்ஜோங், ரெட், விளையாட்டு
🃏	card, game, joker, wildcard, அட்டையில், கருப்பு, சீட்டு, சீட்டுக்கட்டு, ஜோக்கர், வைல்டுகார்டு
🌀	cyclone, dizzy, hurricane, twister, typhoon, weather, ஃபிளாஷ்பேக், கிறுகிறுப்பு, சுழற்காற்று, தலைச்சுற்றல், நினைவு, பழைய, பிளாஷ்பேக், புயல், மயக்கம்
🌁	fog, foggy, ஃபாக், பனி, பனிப்புகை, பனிமூட்டம், வெண்புகை
🌂	closed, clothing, rain, umbrella, குடை, மழை, மூடிய, வெயில்
🌃	night, star, stars, இரவில், இரவு, நகரம், நட்சத்திரங்கள், நட்சத்திரம், நேர, மிளிரும், வானம்
🌄	morning, mountain, mountains, over, sun, sunrise, உதயசூரியன், காலை, காலைச்சூரியன், சூரியோதயம், மலை, வெயில்
🌅	morning, nature, sun, sunrise, ஆதவன், உதயம், கடலும், காலை, காலைச்சூரியன், சூரிய, சூரியனும், சூரியன், சூரியோதயம்
🌆	at, building, city, cityscape, dusk, evening, landscape, sun, sunset, அஸ்தமனத்தின், அஸ்தமனம், சூரிய, நகரம், போது, மாலை
